date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2010-03-29,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-03-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-03-31,0.0,0.38,0.0,0.0,0.14,1,0,0,0
2010-04-01,0.37,0.37,0.37,0.37,-0.01,-1,5000,1,1850
2010-04-02,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-06,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-07,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-08,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-09,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-13,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-15,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-16,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-20,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-21,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-23,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-27,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-28,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-29,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-04-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-05-03,0.0,0.02,0.0,0.0,-0.35,-1,0,0,0
2010-05-04,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-05-05,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-06,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-07,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-10,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-11,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-12,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-13,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-14,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-17,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-18,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-19,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-20,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-21,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-24,0.0,0.01,0.0,0.0,-0.01,-1,0,0,0
2010-05-25,0.0,0.02,0.0,0.0,0.01,1,0,0,0
2010-05-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-05-27,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-28,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-05-31,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-06-01,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-06-02,0.0,0.02,0.0,0.0,0.0,0,0,0,0
2010-06-03,0.0,0.01,0.0,0.0,-0.01,-1,0,0,0
2010-06-04,0.0,0.02,0.0,0.0,0.01,1,0,0,0
2010-06-07,0.0,0.02,0.0,0.0,0.0,0,0,0,0
